"","date","count_rodent","num_inspections","rodent_rate","tmin","tmax","temp","month","summer","hot_day","extreme_heat","year","heat_wave_start"
"1",2007-01-02,0,2,0,1.7,7.2,5.5,1,0,0,0,2007,0
"2",2007-01-03,0,1,0,1.7,10.6,5.6,1,0,0,0,2007,0
"3",2007-01-04,0,2,0,3.9,11.7,8.3,1,0,0,0,2007,0
"4",2007-01-05,0,2,0,8.9,17.2,13.1,1,0,0,0,2007,0
"5",2007-01-08,0,1,0,4.4,11.7,7.6,1,0,0,0,2007,0
"6",2007-01-09,0,3,0,1.1,6.1,3.6,1,0,0,0,2007,0
"7",2007-01-10,0,5,0,-4.4,2.2,0.1,1,0,0,0,2007,0
"8",2007-01-11,0,1,0,-6.1,1.7,-2.3,1,0,0,0,2007,0
"9",2007-01-12,0,4,0,1.7,10,5.8,1,0,0,0,2007,0
"10",2007-01-16,0,5,0,-7.8,5,-0.9,1,0,0,0,2007,0
"11",2007-01-17,0,4,0,-13.3,-7.2,-9.7,1,0,0,0,2007,0
"12",2007-01-18,0,1,0,-10.6,3.9,-3.7,1,0,0,0,2007,0
"13",2007-01-19,0,5,0,0.6,4.4,2.2,1,0,0,0,2007,0
"14",2007-01-22,0,8,0,-6.1,-2.8,-4.9,1,0,0,0,2007,0
"15",2007-01-23,0,8,0,-6.1,0,-3.2,1,0,0,0,2007,0
"16",2007-01-24,0,3,0,-3.9,5.6,0.2,1,0,0,0,2007,0
"17",2007-01-25,0,4,0,-13.9,-2.2,-5.4,1,0,0,0,2007,0
"18",2007-01-26,0,2,0,-16.1,-10.6,-13.8,1,0,0,0,2007,0
"19",2007-01-29,1,7,0.142857142857143,-7.2,-2.2,-4.2,1,0,0,0,2007,0
"20",2007-01-30,0,10,0,-7.8,-0.6,-4.3,1,0,0,0,2007,0
"21",2007-01-31,0,7,0,-7.2,0.6,-3.2,1,0,0,0,2007,0
"22",2007-02-01,0,4,0,-5,2.8,-1.3,2,0,0,0,2007,0
"23",2007-02-02,0,3,0,-2.2,2.8,0.7,2,0,0,0,2007,0
"24",2007-02-03,0,1,0,-5.6,1.7,-1.7,2,0,0,0,2007,0
"25",2007-02-05,0,2,0,-12.2,-7.2,-9.8,2,0,0,0,2007,0
"26",2007-02-06,0,3,0,-9.4,-2.8,-6.8,2,0,0,0,2007,0
"27",2007-02-07,0,9,0,-11.1,-4.4,-7.9,2,0,0,0,2007,0
"28",2007-02-08,0,11,0,-9.4,-2.8,-6.1,2,0,0,0,2007,0
"29",2007-02-09,0,2,0,-7.2,-1.7,-5.1,2,0,0,0,2007,0
"30",2007-02-12,0,5,0,-6.1,2.8,-0.8,2,0,0,0,2007,0
"31",2007-02-13,0,7,0,-12.8,-5.6,-8.5,2,0,0,0,2007,0
"32",2007-02-14,0,6,0,-9.4,2.8,-2.5,2,0,0,0,2007,0
"33",2007-02-15,0,6,0,-11.1,-5.6,-8.3,2,0,0,0,2007,0
"34",2007-02-16,0,7,0,-12.2,-1.7,-6.2,2,0,0,0,2007,0
"35",2007-02-20,0,3,0,-6.7,9.4,2,2,0,0,0,2007,0
"36",2007-02-21,0,1,0,1.1,7.2,3.9,2,0,0,0,2007,0
"37",2007-02-22,0,8,0,-2.8,4.4,1.2,2,0,0,0,2007,0
"38",2007-02-23,0,4,0,-7.8,1.1,-1.4,2,0,0,0,2007,0
"39",2007-02-26,0,4,0,-0.6,2.2,0.5,2,0,0,0,2007,0
"40",2007-02-27,0,8,0,-1.1,3.3,1.1,2,0,0,0,2007,0
"41",2007-02-28,0,4,0,-1.1,5,2.2,2,0,0,0,2007,0
"42",2007-03-01,0,4,0,-3.3,4.4,0.4,3,0,0,0,2007,0
"43",2007-03-02,0,2,0,0,6.7,3.4,3,0,0,0,2007,0
"44",2007-03-05,0,4,0,-5.6,3.9,-0.4,3,0,0,0,2007,0
"45",2007-03-06,0,3,0,-14.4,-5,-11.1,3,0,0,0,2007,0
"46",2007-03-07,0,4,0,-14.4,-4.4,-9.5,3,0,0,0,2007,0
"47",2007-03-08,0,1,0,-13.9,-3.3,-8.1,3,0,0,0,2007,0
"48",2007-03-09,0,6,0,-15,-0.6,-7.6,3,0,0,0,2007,0
"49",2007-03-10,0,2,0,-5,11.1,4.2,3,0,0,0,2007,0
"50",2007-03-12,0,3,0,1.7,12.8,6.9,3,0,0,0,2007,0
"51",2007-03-13,0,2,0,3.3,16.1,8.8,3,0,0,0,2007,0
"52",2007-03-14,0,2,0,7.2,20,12.3,3,0,0,0,2007,0
"53",2007-03-19,0,4,0,-2.8,4.4,0.3,3,0,0,0,2007,0
"54",2007-03-20,0,1,0,-4.4,6.7,4,3,0,0,0,2007,0
"55",2007-03-21,0,3,0,-6.7,1.7,-2.5,3,0,0,0,2007,0
"56",2007-03-22,0,5,0,1.1,13.9,8,3,0,0,0,2007,0
"57",2007-03-23,0,6,0,4.4,15,12,3,0,0,0,2007,0
"58",2007-03-24,0,3,0,0,7.8,4.7,3,0,0,0,2007,0
"59",2007-03-25,0,25,0,1.1,7.8,3.8,3,0,0,0,2007,0
"60",2007-03-26,1,11,0.0909090909090909,2.2,8.3,5.3,3,0,0,0,2007,0
"61",2007-03-27,0,5,0,5.6,14.4,7.6,3,0,0,0,2007,0
"62",2007-03-28,0,7,0,3.9,13.3,10,3,0,0,0,2007,0
"63",2007-03-29,0,7,0,0.6,11.1,5.5,3,0,0,0,2007,0
"64",2007-03-30,0,5,0,3.3,16.1,9.1,3,0,0,0,2007,0
"65",2007-03-31,0,26,0,2.2,7.8,5.5,3,0,0,0,2007,0
"66",2007-04-01,0,41,0,0.6,11.1,6.6,4,0,0,0,2007,0
